elapsed_min,day_index,vehicle_count,avg_speed,vehicle_density,ir_lane1,ir_lane2,ir_lane3,ir_lane4,ir_active_lanes,minute_of_hour,hour_sin,hour_cos,vehicle_count_lag1,vehicle_count_lag5,vehicle_count_mean5m,vehicle_count_mean15m,avg_speed_lag1,avg_speed_lag5,avg_speed_mean5m,avg_speed_mean15m,vehicle_density_lag1,vehicle_density_lag5,vehicle_density_mean5m,vehicle_density_mean15m,ir_active_lanes_lag1,ir_active_lanes_lag5,ir_active_lanes_mean5m,ir_active_lanes_mean15m,target_bottleneck,target_level,naive_current_bottleneck
14,0,118,25.5,71,1,1,0,0,2,14,0.8338858220671684,-0.5519369853120578,169.0,93.0,131.4,129.46666666666667,26.4,41.2,33.32000000000001,34.84,59.0,59.0,50.2,59.266666666666666,1.0,2.0,1.8,1.6666666666666667,0,1,1
15,0,51,25.5,45,1,1,0,1,3,15,0.8314696123025451,-0.5555702330196024,118.0,145.0,112.6,126.4,25.5,20.6,34.3,34.46,71.0,43.0,50.6,59.6,2.0,2.0,2.0,1.8,0,1,0
16,0,80,29.1,33,0,1,1,1,3,16,0.8290375725550417,-0.5591929034707467,51.0,163.0,96.0,123.33333333333333,25.5,49.1,30.3,33.166666666666664,45.0,31.0,51.0,58.0,3.0,2.0,2.2,1.8666666666666667,0,1,0
17,0,72,35.7,67,0,1,1,1,3,17,0.8265897491271889,-0.5628049276950683,80.0,62.0,98.0,124.06666666666666,29.1,45.0,28.439999999999998,32.74666666666667,33.0,47.0,55.0,57.0,3.0,2.0,2.4,2.0,1,2,1
18,0,122,33.0,65,0,0,1,1,2,18,0.8241261886220155,-0.566406236924833,72.0,169.0,88.6,120.86666666666666,35.7,26.4,29.76,32.413333333333334,67.0,59.0,56.2,56.333333333333336,3.0,1.0,2.6,2.1333333333333333,1,2,1
19,0,120,28.7,43,0,0,0,1,1,19,0.8216469379421637,-0.569996762596303,122.0,118.0,89.0,116.86666666666666,33.0,25.5,30.4,32.68,65.0,71.0,50.6,53.2,2.0,2.0,2.4,2.1333333333333333,0,1,0
20,0,134,38.4,41,1,1,0,0,2,20,0.8191520442889917,-0.5735764363510462,120.0,51.0,105.6,115.2,28.7,25.5,32.98,33.593333333333334,43.0,45.0,49.8,53.93333333333333,1.0,3.0,2.2,2.066666666666667,1,2,0
21,0,110,24.2,41,0,1,1,0,2,21,0.816641555161679,-0.5771451900372335,134.0,80.0,111.6,110.86666666666666,38.4,29.1,32.0,33.76,41.0,33.0,51.4,50.733333333333334,2.0,3.0,2.0,2.1333333333333333,0,1,0
22,0,120,28.8,63,1,0,1,0,2,22,0.8141155183563192,-0.5807029557109398,110.0,72.0,121.2,109.2,24.2,35.7,30.619999999999997,32.61333333333333,41.0,67.0,50.6,50.06666666666667,2.0,3.0,1.8,2.1333333333333333,0,1,1
23,0,200,31.0,57,0,0,1,0,1,23,0.8115739819650124,-0.5842496656374342,120.0,122.0,136.8,117.26666666666667,28.8,33.0,30.22,32.14666666666667,63.0,65.0,49.0,51.0,2.0,2.0,1.6,2.0,1,2,1
24,0,190,33.7,46,1,0,0,1,2,24,0.8090169943749475,-0.587785252292473,200.0,120.0,150.8,123.73333333333333,31.0,28.7,31.22,31.646666666666665,57.0,43.0,49.6,50.13333333333333,1.0,1.0,1.8,2.0,1,2,0
25,0,197,43.6,68,1,0,1,1,3,25,0.8064446042674828,-0.5913096483635821,190.0,134.0,163.4,127.2,33.7,38.4,32.260000000000005,33.18,46.0,41.0,55.0,51.8,2.0,2.0,2.0,2.066666666666667,0,1,1
26,0,173,26.0,33,1,0,0,1,2,26,0.8038568606172174,-0.5948227867513411,197.0,110.0,176.0,127.86666666666666,43.6,24.2,32.620000000000005,31.64,68.0,41.0,53.4,51.93333333333333,3.0,2.0,2.0,2.066666666666667,0,1,0
27,0,180,35.4,36,0,0,0,1,1,27,0.8012538126910609,-0.5983246005706587,173.0,120.0,188.0,135.73333333333332,26.0,28.8,33.94,31.0,33.0,63.0,48.0,51.2,2.0,2.0,1.8,2.0,0,1,0
28,0,100,37.8,72,1,0,1,0,2,28,0.7986355100472927,-0.6018150231520484,180.0,200.0,168.0,131.13333333333333,35.4,31.0,35.3,31.759999999999998,36.0,57.0,51.0,52.06666666666667,1.0,1.0,2.0,2.066666666666667,0,1,1
29,0,178,21.4,56,1,1,0,0,2,29,0.7960020025346222,-0.6052939880428942,100.0,190.0,165.6,135.13333333333333,37.8,33.7,32.84,31.486666666666665,72.0,46.0,53.0,51.06666666666667,2.0,2.0,2.0,2.066666666666667,0,0,1
